_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2420803,4221299,2017,2021,1950,PRIVATE,09,Davenport,1094 COLLEGE ST,3,19,2021-04-28,81,Evaluation needs to be conducted in 2 years,15,4,5,5,4,4,4,N/A,3,N/A,N/A,4,4,5,4,3,4,N/A,4,4,N/A,S0934,43.6528825044,-79.4321278569,310259.331,4834550.221
2420804,4152997,2018,2021,1965,PRIVATE,04,Parkdale-High Park,115 DOWLING AVE,9,70,2021-04-28,82,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,N/A,4,4,N/A,4,4,5,4,4,4,4,4,4,N/A,S0437,43.6363526451,-79.4380647269,309781.782,4832713.518
2420805,4156547,2017,2021,2010,TCHC,13,Toronto Centre,92 CARLTON ST,12,110,2021-04-28,67,Evaluation needs to be conducted in 2 years,18,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,4,N/A,3,3,N/A,S1326,43.6622943764,-79.3782139337,314606.727,4835600.825
2420806,4902355,NA,2021,NA,PRIVATE,19,Beaches-East York,2902 ST CLAIR AVE E,3,12,2021-04-28,74,Evaluation needs to be conducted in 2 years,14,3,4,4,3,N/A,3,N/A,4,N/A,N/A,3,3,5,5,4,3,N/A,4,4,N/A,S1924,43.7081344866,-79.3018433113,320754.014,4840705.283
2420807,4153624,2019,2021,1995,SOCIAL HOUSING,14,Toronto-Danforth,802 EASTERN AVE,3,16,2021-04-28,59,Evaluation needs to be conducted in 1 year,16,2,3,4,2,N/A,3,N/A,3,3,N/A,2,2,4,3,3,3,3,4,3,N/A,S1441,43.6616379459,-79.3298622257,318506.508,4835534.706
2420808,4153419,2017,2021,1979,TCHC,11,University-Rosedale,34 OXFORD ST,5,189,2021-04-28,70,Evaluation needs to be conducted in 2 years,18,3,3,3,4,3,4,3,4,4,N/A,3,4,4,3,4,4,3,3,4,N/A,S1143,43.656896921,-79.40179055,312705.645,4834999.574
2420809,4250261,2017,2021,1987,SOCIAL HOUSING,04,Parkdale-High Park,1245 KING ST W,3,39,2021-04-28,66,Evaluation needs to be conducted in 2 years,17,3,3,4,3,4,3,N/A,3,N/A,4,3,3,5,3,3,3,3,3,3,N/A,S0437,43.6384884423,-79.4287782888,310530.87,4832951.348
2420810,4288126,2017,2021,1920,SOCIAL HOUSING,04,Parkdale-High Park,1339 KING ST W,3,10,2021-04-28,84,Evaluation needs to be conducted in 2 years,14,4,4,5,4,N/A,4,N/A,4,N/A,N/A,5,4,5,4,4,4,N/A,4,4,N/A,S0437,43.6377164768,-79.4326281965,310220.312,4832865.346
2420811,4155640,2017,2021,1957,TCHC,08,Eglinton-Lawrence,20 VARNA DR,3,31,2021-04-28,67,Evaluation needs to be conducted in 2 years,15,3,3,5,2,3,3,N/A,4,N/A,N/A,2,3,5,3,3,3,N/A,4,4,N/A,N0823,43.7194419613,-79.4399793206,309620.709,4841944.21
2420812,4332678,NA,2021,1920,PRIVATE,13,Toronto Centre,36 MAITLAND ST,4,27,2021-04-28,76,Evaluation needs to be conducted in 2 years,16,4,4,3,4,3,4,N/A,4,N/A,4,4,3,5,4,4,4,N/A,4,3,N/A,S1326,43.664540632,-79.382321075,314274.864,4835850.85
2420813,4153710,2017,2021,1910,PRIVATE,19,Beaches-East York,2 MAIN ST,7,68,2021-04-28,20,Building Audit,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,S1935,43.679038326,-79.298376637,321040.936,4837474.429
2420814,4154656,2017,2021,1951,PRIVATE,08,Eglinton-Lawrence,312 DOUGLAS AVE,3,11,2021-04-28,64,Evaluation needs to be conducted in 1 year,15,2,4,3,3,3,3,N/A,3,N/A,N/A,2,4,5,3,3,4,N/A,3,3,N/A,N0824,43.7238625563,-79.4167257384,311493.898,4842436.978
2420815,4152995,2017,2021,1989,TCHC,04,Parkdale-High Park,75 DOWLING AVE,7,138,2021-04-28,68,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,3,N/A,3,3,3,4,4,3,3,3,3,3,3,3,N/A,S0437,43.635062111,-79.437601411,309819.008,4832571.13
2420816,4153661,2017,2021,1985,SOCIAL HOUSING,14,Toronto-Danforth,51 DONLANDS AVE,5,53,2021-04-28,71,Evaluation needs to be conducted in 2 years,18,4,4,5,3,3,4,3,4,4,N/A,3,4,3,3,3,4,3,3,4,N/A,S1427,43.6811775403,-79.3372646974,317905.252,4837704.244
2420817,4152826,2017,2021,1970,PRIVATE,24,Scarborough-Guildwood,20 TUXEDO CRT,15,210,2021-04-28,77,Evaluation needs to be conducted in 2 years,18,3,4,4,3,4,4,3,5,4,N/A,3,5,5,3,4,4,3,4,4,N/A,E2422,43.7801851032,-79.2301866878,326502.803,4848725.927
2420818,4153192,2018,2021,1963,PRIVATE,11,University-Rosedale,68-72 SPADINA RD,11,157,2021-04-28,76,Evaluation needs to be conducted in 2 years,17,4,4,5,2,3,3,N/A,4,4,3,4,5,5,4,3,3,5,4,N/A,N/A,S1126,43.670432258,-79.4055781,312395.552,4836492.651
2420819,4888795,2021,2021,1951,PRIVATE,19,Beaches-East York,1000 O'CONNOR DR,3,12,2021-04-28,64,Evaluation needs to be conducted in 1 year,14,3,4,4,3,N/A,4,N/A,2,N/A,N/A,3,4,4,3,3,3,N/A,3,2,N/A,S1921,43.7092735859,-79.3104170385,320062.769,4840830.249
2420820,4888798,2021,2021,1958,PRIVATE,19,Beaches-East York,1004 O'CONNOR DR,3,12,2021-04-27,54,Evaluation needs to be conducted in 1 year,14,3,4,2,2,N/A,3,N/A,2,N/A,N/A,3,2,3,3,3,3,N/A,3,2,N/A,S1921,43.7093915455,-79.3103269723,320069.997,4840843.37
2420821,4155858,2017,2021,1905,PRIVATE,11,University-Rosedale,41 SPADINA RD,4,24,2021-04-27,66,Evaluation needs to be conducted in 2 years,17,4,4,5,3,3,3,N/A,3,3,3,3,3,5,3,3,3,2,3,N/A,N/A,S1127,43.6688434904,-79.4042769908,312503.8,4836325.6
2420822,4154700,2017,2021,1980,TCHC,06,York Centre,4455 BATHURST ST,14,301,2021-04-27,74,Evaluation needs to be conducted in 2 years,19,4,4,3,4,4,4,3,3,4,N/A,4,4,5,3,4,4,3,3,3,4,N0624,43.7583474577,-79.4386412229,309743.646,4846266.068
2420823,4154723,2017,2021,1972,TCHC,06,York Centre,6250 BATHURST ST,14,389,2021-04-27,64,Evaluation needs to be conducted in 1 year,19,4,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,N/A,N0622,43.79163957,-79.446195585,309114.424,4849965.666
2420824,4155269,2017,2021,1964,PRIVATE,03,Etobicoke-Lakeshore,6 HILL HEIGHTS RD,4,30,2021-04-27,79,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,4,N/A,4,N/A,3,4,4,5,4,4,4,4,4,4,N/A,W0327,43.6390231144,-79.4931494721,305337.056,4833008.466
2420825,4152993,2017,2021,1977,PRIVATE,04,Parkdale-High Park,96 JAMESON AVE,6,72,2021-04-27,68,Evaluation needs to be conducted in 2 years,18,3,4,5,3,3,3,3,4,3,N/A,4,4,4,3,3,3,3,3,3,N/A,S0437,43.6347636239,-79.4354387074,309993.796,4832537.146
2420826,4152992,2018,2021,1960,PRIVATE,04,Parkdale-High Park,100 JAMESON AVE,10,80,2021-04-27,60,Evaluation needs to be conducted in 1 year,17,3,3,4,3,3,3,N/A,2,2,N/A,3,3,5,3,3,3,3,3,2,N/A,S0437,43.6351191889,-79.4356564648,309976.196,4832576.633
2420827,4152983,2017,2021,1968,PRIVATE,04,Parkdale-High Park,109 JAMESON AVE,7,118,2021-04-27,62,Evaluation needs to be conducted in 1 year,17,3,4,5,2,3,3,N/A,3,3,N/A,2,3,5,3,3,3,3,3,2,N/A,S0437,43.6357752614,-79.4351441471,310017.478,4832649.546
2420828,4155652,2017,2021,1974,TCHC,08,Eglinton-Lawrence,855 ROSELAWN AVE,17,253,2021-04-27,64,Evaluation needs to be conducted in 1 year,18,3,3,5,2,3,3,3,4,3,N/A,3,3,5,3,2,3,4,3,3,N/A,N0831,43.701879441,-79.441477074,309501.122,4839993.968
2420829,4888801,2021,2021,1954,PRIVATE,19,Beaches-East York,1012 O'CONNOR DR,3,12,2021-04-27,51,Evaluation needs to be conducted in 1 year,14,2,4,3,2,N/A,3,N/A,2,N/A,N/A,2,3,3,3,2,2,N/A,3,2,N/A,S1921,43.7096518084,-79.3101171407,320086.84,4840872.322
2420830,4888802,2021,2021,1980,PRIVATE,19,Beaches-East York,1016 O'CONNOR DR,3,12,2021-04-27,65,Evaluation needs to be conducted in 1 year,15,3,4,3,3,4,3,N/A,4,N/A,N/A,4,3,4,3,3,3,N/A,3,2,N/A,S1921,43.7097824646,-79.3100193403,320094.688,4840886.855
2420831,4888803,NA,2021,NA,PRIVATE,19,Beaches-East York,1020 O'CONNOR DR,3,12,2021-04-27,71,Evaluation needs to be conducted in 2 years,14,4,4,4,4,N/A,4,N/A,3,N/A,N/A,4,4,5,3,3,3,N/A,3,2,N/A,S1921,43.7099171147,-79.309915823,320102.996,4840901.833
2420832,4888804,NA,2021,NA,PRIVATE,19,Beaches-East York,1024 O'CONNOR DR,3,12,2021-04-27,70,Evaluation needs to be conducted in 2 years,14,4,4,3,4,N/A,3,N/A,2,N/A,N/A,4,4,5,3,4,3,N/A,4,2,N/A,S1921,43.710018819,-79.3098385055,320109.201,4840913.146
2420833,4154427,2018,2021,1968,PRIVATE,06,York Centre,2900 KEELE ST,3,12,2021-04-27,55,Evaluation needs to be conducted in 1 year,16,3,3,3,3,2,3,N/A,2,N/A,N/A,3,2,5,2,2,3,2,3,3,N/A,N0627,43.733936256,-79.484144321,306061.54,4843553.804
2420834,4250554,2018,2021,1898,PRIVATE,11,University-Rosedale,409 HURON ST,4,42,2021-04-27,65,Evaluation needs to be conducted in 1 year,16,3,4,4,3,3,3,N/A,2,N/A,4,3,4,4,3,3,3,N/A,3,3,N/A,S1135,43.666610495,-79.400824313,312782.257,4836078.804
2420835,4152695,2017,2021,1971,PRIVATE,21,Scarborough Centre,10 IONVIEW RD,6,62,2021-04-27,83,Evaluation needs to be conducted in 2 years,18,5,5,4,5,4,5,5,5,5,N/A,3,4,5,3,4,3,5,3,2,N/A,E2133,43.7320328108,-79.2718003684,323167.844,4843366.427
2420836,4227299,2017,2021,1962,PRIVATE,06,York Centre,4100 BATHURST ST,5,37,2021-04-27,71,Evaluation needs to be conducted in 2 years,18,4,4,4,4,3,4,N/A,3,3,3,3,4,5,4,3,4,3,3,3,N/A,N0629,43.7454927714,-79.4364245515,309904.96,4844838.53
2420837,4154603,2017,2021,1964,PRIVATE,06,York Centre,4160 BATHURST ST,7,67,2021-04-27,66,Evaluation needs to be conducted in 2 years,19,4,3,3,4,3,4,4,3,3,2,3,4,5,3,3,3,3,3,3,N/A,N0629,43.7478559496,-79.4370573738,309853.799,4845101.032
2420838,4154612,2017,2021,1965,PRIVATE,06,York Centre,20 WILMINGTON AVE,4,13,2021-04-27,65,Evaluation needs to be conducted in 1 year,17,4,4,3,4,3,3,N/A,3,N/A,3,4,2,5,3,3,3,3,3,2,N/A,N0624,43.753481576,-79.453303954,308544.767,4845726.114
2420839,4250622,2017,2021,1913,PRIVATE,11,University-Rosedale,1 A VERMONT AVE,3,22,2021-04-27,70,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,3,N/A,4,N/A,3,4,2,4,3,3,3,4,3,N/A,N/A,S1125,43.6719047611,-79.414243936,311699.702,4836664.832
2420840,4153628,2017,2021,1988,SOCIAL HOUSING,14,Toronto-Danforth,15 PAPE AVE,5,77,2021-04-27,78,Evaluation needs to be conducted in 2 years,17,4,4,5,3,3,3,4,4,3,N/A,3,4,5,4,4,4,N/A,4,5,N/A,S1441,43.6594297929,-79.3361462421,318000.182,4835288.371
2420841,4156401,2017,2021,1953,PRIVATE,03,Etobicoke-Lakeshore,10 CROWN HILL PL,5,26,2021-04-27,75,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,N/A,4,N/A,4,3,3,4,4,4,3,4,3,4,N/A,W0327,43.639476269,-79.491647816,305457.959,4833059.771
2420842,4156115,2017,2021,1953,PRIVATE,03,Etobicoke-Lakeshore,11 CROWN HILL PL,5,26,2021-04-27,75,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,N/A,4,N/A,4,3,3,4,4,4,3,4,3,4,N/A,W0327,43.639636427,-79.491738294,305450.658,4833077.563
2420843,4153867,2017,2021,1990,TCHC,15,Don Valley West,3179 YONGE ST,5,110,2021-04-27,90,Evaluation needs to be conducted in 3 years,18,4,4,5,4,4,5,4,4,5,N/A,3,4,5,5,5,5,5,5,5,N/A,N1525,43.7273367741,-79.4020576636,312675.228,4842824.244
2420844,4221313,2017,2021,1920,PRIVATE,11,University-Rosedale,110 WALMER RD,4,10,2021-04-27,70,Evaluation needs to be conducted in 2 years,16,4,4,3,3,3,3,N/A,5,N/A,N/A,3,3,5,4,3,3,3,3,4,N/A,S1126,43.6714919471,-79.4073443984,312256.124,4836619.554
2420845,4152835,2017,2021,1976,PRIVATE,24,Scarborough-Guildwood,70 MORNELLE CRT,16,264,2021-04-27,78,Evaluation needs to be conducted in 2 years,18,4,4,5,4,3,4,3,4,4,N/A,3,3,5,4,4,4,4,4,4,N/A,E2423,43.786853839,-79.197805135,329106.341,4849476.751
2420846,4156586,2017,2021,1960,PRIVATE,15,Don Valley West,855 MILLWOOD RD,3,22,2021-04-27,60,Evaluation needs to be conducted in 1 year,15,2,3,4,3,N/A,3,N/A,3,N/A,3,2,2,5,3,3,3,2,4,N/A,N/A,N1535,43.7041508326,-79.3662785902,315561.894,4840252.385
2420847,4155113,2017,2021,1950,PRIVATE,05,York South-Weston,81 CLEARVIEW HTS,3,40,2021-04-27,74,Evaluation needs to be conducted in 2 years,16,4,4,5,4,3,4,N/A,4,N/A,3,4,3,4,3,3,4,N/A,4,3,N/A,W0532,43.692447216,-79.482711179,306177.868,4838944.622
2420848,4155728,2018,2021,1970,PRIVATE,11,University-Rosedale,318 CLINTON ST,3,12,2021-04-27,69,Evaluation needs to be conducted in 2 years,16,3,3,5,3,3,3,N/A,3,N/A,N/A,3,4,5,4,3,4,3,3,3,N/A,S1133,43.662511227,-79.417002758,311478.057,4835622.035
2420849,4155114,2017,2021,1950,PRIVATE,05,York South-Weston,79 CLEARVIEW HTS,4,54,2021-04-27,69,Evaluation needs to be conducted in 2 years,16,3,4,5,3,3,4,N/A,3,N/A,3,3,3,4,3,3,4,N/A,4,3,N/A,W0532,43.692294791,-79.482440365,306199.702,4838927.692
2420850,4155588,2017,2021,1974,TCHC,04,Parkdale-High Park,85 SPENCER AVE,7,57,2021-04-27,81,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,3,N/A,4,5,4,3,4,5,4,4,4,4,5,4,N/A,S0437,43.637330091,-79.430147711,310420.221,4832823.529
2420851,4575691,2019,2021,2018,PRIVATE,13,Toronto Centre,25 SELBY ST,51,503,2021-04-27,99,Evaluation needs to be conducted in 3 years,18,5,5,5,5,N/A,5,5,5,5,5,5,5,5,5,5,4,N/A,5,5,5,S1322,43.671146181,-79.376964829,314705.756,4836585.294
2420852,4154175,2017,2021,1988,TCHC,15,Don Valley West,12 THORNCLIFFE PARK DR,11,219,2021-04-27,68,Evaluation needs to be conducted in 2 years,18,3,4,5,3,3,4,3,3,2,N/A,3,3,5,3,3,3,3,4,4,N/A,N1533,43.704529309,-79.348260442,317013.706,4840297.828
2420853,4888799,NA,2021,NA,PRIVATE,19,Beaches-East York,1008 O'CONNOR DR,3,12,2021-04-27,56,Evaluation needs to be conducted in 1 year,14,2,3,3,2,N/A,3,N/A,3,N/A,N/A,2,3,4,3,2,2,N/A,4,3,N/A,S1921,43.7095271974,-79.3102178135,320078.759,4840858.46
2420854,4152750,2017,2021,1954,PRIVATE,21,Scarborough Centre,30 GILDER DR,14,192,2021-04-26,86,Evaluation needs to be conducted in 3 years,19,5,3,5,5,4,5,5,5,5,5,4,3,5,3,5,4,3,4,4,N/A,E2134,43.7371458262,-79.2565312101,324396.207,4843937.937
2420855,4152760,2017,2021,1950,PRIVATE,21,Scarborough Centre,1385 MIDLAND AVE,13,144,2021-04-26,79,Evaluation needs to be conducted in 2 years,18,5,3,5,3,4,5,4,5,4,N/A,3,4,5,3,4,4,4,3,3,N/A,E2134,43.750636326,-79.2638428764,323803.012,4845434.954
2420856,4288472,2018,2021,2016,SOCIAL HOUSING,13,Toronto Centre,75 COOPERAGE ST,12,145,2021-04-26,94,Evaluation needs to be conducted in 3 years,18,5,4,5,5,5,5,4,4,5,N/A,4,5,5,5,4,5,N/A,5,5,5,S1336,43.653300151,-79.35672646,316341.205,4834605.327
2420857,4154887,2017,2021,1960,PRIVATE,16,Don Valley East,48 ECCLESTON DR,4,69,2021-04-25,76,Evaluation needs to be conducted in 2 years,18,4,4,4,4,3,4,N/A,4,4,4,3,3,4,4,4,3,4,4,4,N/A,N1628,43.7279658085,-79.3179887258,319448.016,4842905.497
2420858,4154823,2017,2021,1971,PRIVATE,17,Don Valley North,2600 DON MILLS RD,19,226,2021-04-25,68,Evaluation needs to be conducted in 2 years,18,4,4,4,3,3,3,2,4,4,N/A,3,2,5,3,4,3,3,4,3,N/A,N1727,43.7762509604,-79.3486061826,316971.632,4848264.765
2420859,4154822,2017,2021,1969,PRIVATE,17,Don Valley North,25 LEITH HILL RD,15,147,2021-04-25,73,Evaluation needs to be conducted in 2 years,19,4,3,4,2,4,4,3,4,4,4,3,3,5,3,4,4,4,4,3,N/A,N1727,43.7763920506,-79.3495861019,316892.719,4848280.297
2420860,4154848,2017,2021,1980,TCHC,17,Don Valley North,4000 DON MILLS RD,6,397,2021-04-24,76,Evaluation needs to be conducted in 2 years,18,3,4,3,4,4,4,4,3,4,N/A,3,3,5,4,4,4,4,4,4,N/A,N1722,43.810377963,-79.36147583,315929.111,4852055.344
2420861,4155651,2017,2021,1962,TCHC,16,Don Valley East,14 RAYOAK DR,8,63,2021-04-24,67,Evaluation needs to be conducted in 2 years,17,4,3,3,2,3,4,3,3,3,N/A,3,4,4,3,3,4,N/A,4,4,N/A,N1625,43.7598478794,-79.3194127987,319325.589,4846447.109
2420862,4152927,2017,2021,1982,SOCIAL HOUSING,04,Parkdale-High Park,1700 BLOOR ST W,9,115,2021-04-23,80,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,4,4,4,N/A,3,3,5,4,4,4,4,4,4,5,S0429,43.6554042142,-79.4584260885,308137.86,4834829.083
2420863,4356202,2018,2021,2017,PRIVATE,04,Parkdale-High Park,36 SPENCER AVE,8,46,2021-04-23,91,Evaluation needs to be conducted in 3 years,16,5,4,3,5,5,5,5,5,4,N/A,5,4,5,5,4,5,N/A,4,N/A,N/A,S0437,NA,NA,310432.662,4832559.495
2420864,4152815,2017,2021,1977,TCHC,24,Scarborough-Guildwood,65 GREENCREST CRCT,13,400,2021-04-23,76,Evaluation needs to be conducted in 2 years,19,4,4,3,3,4,3,3,4,4,N/A,4,3,4,5,3,4,5,4,4,4,E2430,43.7599953268,-79.2217974394,327185.56,4846485.164
2420865,4152908,2017,2021,1967,PRIVATE,04,Parkdale-High Park,2 KENNEDY AVE,4,25,2021-04-23,66,Evaluation needs to be conducted in 2 years,16,3,4,4,3,4,3,N/A,3,N/A,3,2,3,4,3,3,4,N/A,3,4,N/A,S0430,43.646232595,-79.473567835,306916.528,4833810.638
2420866,4152907,2017,2021,1967,PRIVATE,04,Parkdale-High Park,1 RUNNYMEDE RD,4,28,2021-04-23,68,Evaluation needs to be conducted in 2 years,16,3,4,4,3,4,3,N/A,3,N/A,3,2,3,5,3,3,4,N/A,3,4,N/A,S0430,43.646159833,-79.473952107,306885.53,4833802.545
2420867,4152943,2017,2021,1940,PRIVATE,04,Parkdale-High Park,340 HIGH PARK AVE,3,10,2021-04-23,64,Evaluation needs to be conducted in 1 year,15,3,3,4,3,3,3,N/A,3,N/A,N/A,3,3,5,3,3,3,N/A,3,3,N/A,S0424,43.665283034,-79.4705575166,307158.849,4835926.123
2420868,4154318,2017,2021,1955,PRIVATE,05,York South-Weston,2643 KEELE ST,3,21,2021-04-23,79,Evaluation needs to be conducted in 2 years,15,3,4,5,4,3,4,N/A,5,N/A,N/A,3,4,5,4,4,4,N/A,4,3,N/A,W0523,43.7214377467,-79.4800527755,306391.705,4842164.401
2420869,4154319,2018,2021,1953,PRIVATE,05,York South-Weston,2645 KEELE ST,3,21,2021-04-23,76,Evaluation needs to be conducted in 2 years,15,3,4,5,3,4,4,N/A,4,N/A,N/A,3,4,5,3,4,4,N/A,4,3,N/A,W0523,43.7216077716,-79.4801053562,306387.464,4842183.289
2420870,4154321,2017,2021,1960,PRIVATE,05,York South-Weston,2647 KEELE ST,3,33,2021-04-23,79,Evaluation needs to be conducted in 2 years,15,3,4,5,3,3,3,N/A,4,N/A,N/A,3,4,5,5,4,4,N/A,5,4,N/A,W0523,43.7218557003,-79.4808147675,306330.299,4842210.82
2420871,4154317,2017,2021,1955,PRIVATE,05,York South-Weston,2641 KEELE ST,3,21,2021-04-23,76,Evaluation needs to be conducted in 2 years,15,3,4,5,4,3,3,N/A,5,N/A,N/A,3,4,5,3,4,4,N/A,4,3,N/A,W0523,43.7212489547,-79.4801097422,306387.12,4842143.426
2420872,4167459,2017,2021,2006,TCHC,13,Toronto Centre,176 THE ESPLANADE,7,220,2021-04-23,67,Evaluation needs to be conducted in 2 years,19,3,4,4,3,3,4,3,3,3,N/A,3,3,4,3,4,4,3,4,3,3,S1339,43.649017812,-79.367964945,315435.409,4834128.066
2420873,4153552,2017,2021,1988,SOCIAL HOUSING,14,Toronto-Danforth,841 QUEEN ST E,3,36,2021-04-23,62,Evaluation needs to be conducted in 1 year,17,3,3,4,3,3,3,3,3,2,N/A,3,3,4,3,4,3,N/A,3,N/A,3,S1440,43.6600377777,-79.3438606904,317377.858,4835354.725
2420874,4155069,2017,2021,1959,PRIVATE,09,Davenport,2204 DUFFERIN ST,4,28,2021-04-23,70,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,N/A,3,N/A,N/A,3,3,5,3,3,4,4,4,3,N/A,S0922,43.690434125,-79.448380394,308945.447,4838722.081
2420875,4287030,2018,2021,1917,PRIVATE,04,Parkdale-High Park,193 DOWLING AVE,5,16,2021-04-23,71,Evaluation needs to be conducted in 2 years,14,4,3,4,4,4,3,N/A,3,N/A,N/A,4,4,5,3,3,3,N/A,3,N/A,N/A,S0436,43.6398204138,-79.4395890301,309658.458,4833105.204
2420876,4883232,NA,2021,NA,PRIVATE,14,Toronto-Danforth,111 COSBURN AVE,3,23,2021-04-23,69,Evaluation needs to be conducted in 2 years,15,3,4,3,4,2,4,N/A,4,N/A,N/A,3,2,5,3,4,4,N/A,4,3,N/A,S1422,43.6892545764,-79.3481301211,317027.601,4838599.943
2420877,4286254,2017,2021,2014,TCHC,13,Toronto Centre,585 KING ST E,8,128,2021-04-23,93,Evaluation needs to be conducted in 3 years,19,4,5,4,5,5,5,5,4,5,N/A,4,4,5,5,5,5,5,4,5,4,S1336,43.656334944,-79.356596199,316351.135,4834942.491
2420878,4156469,2018,2021,1992,SOCIAL HOUSING,24,Scarborough-Guildwood,3379 LAWRENCE AVE E,6,48,2021-04-23,78,Evaluation needs to be conducted in 2 years,19,4,4,4,3,3,5,4,3,4,N/A,2,4,5,5,4,3,5,4,4,4,E2429,43.7578221906,-79.2338165953,326218.534,4846240.572
2420879,4153576,2017,2021,1973,TCHC,14,Toronto-Danforth,859 DUNDAS ST E,4,29,2021-04-23,69,Evaluation needs to be conducted in 2 years,17,3,4,4,3,3,3,3,4,3,N/A,3,3,4,4,4,4,N/A,4,N/A,3,S1434,43.6621159617,-79.35167947,316746.84,4835584.466
2420880,4156748,2017,2021,2009,TCHC,13,Toronto Centre,501 ADELAIDE ST E,13,180,2021-04-23,71,Evaluation needs to be conducted in 2 years,19,3,4,4,2,3,3,4,3,3,4,3,4,3,4,4,4,N/A,4,4,4,S1335,43.65255869,-79.365341193,315646.432,4834521.781
2420881,4155083,2017,2021,1965,PRIVATE,05,York South-Weston,7 NASHVILLE AVE,4,23,2021-04-22,82,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,3,N/A,4,N/A,3,4,5,5,4,4,4,4,5,4,N/A,W0536,43.683178102,-79.4735022306,306920.77,4837914.084
2420882,4153050,2017,2021,1967,PRIVATE,04,Parkdale-High Park,244 RONCESVALLES AVE,3,22,2021-04-22,76,Evaluation needs to be conducted in 2 years,15,3,4,4,3,3,4,N/A,3,N/A,4,4,4,5,4,4,4,N/A,4,N/A,N/A,S0432,43.6458748737,-79.4493623432,308869.575,4833770.792
2420883,4154528,2017,2021,1956,PRIVATE,08,Eglinton-Lawrence,78 NEPTUNE DR,3,12,2021-04-22,58,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,3,N/A,3,N/A,N/A,3,2,4,2,2,3,3,3,3,N/A,N0823,43.7328466433,-79.4361394574,309928.972,4843433.651
2420884,4153683,2017,2021,1955,TCHC,19,Beaches-East York,98 ELMER AVE,4,36,2021-04-22,69,Evaluation needs to be conducted in 2 years,17,3,3,4,3,4,2,N/A,4,N/A,N/A,4,3,4,4,4,4,3,3,3,4,S1938,43.672335957,-79.305154005,320496.219,4836728.497
2420885,4155598,2017,2021,1978,TCHC,11,University-Rosedale,6 HENRY ST,4,105,2021-04-22,73,Evaluation needs to be conducted in 2 years,17,3,4,4,3,4,4,3,3,4,N/A,3,4,5,4,3,3,N/A,4,4,N/A,S1144,43.6562790378,-79.3937588727,313353.834,4834930.811
2420886,4155085,2017,2021,1958,PRIVATE,05,York South-Weston,1650 KEELE ST,4,22,2021-04-22,74,Evaluation needs to be conducted in 2 years,17,4,3,5,4,3,3,N/A,4,N/A,3,3,4,4,4,4,4,4,4,3,N/A,W0536,43.6834927001,-79.4726312444,306990.985,4837949.057
2420887,4153455,2018,2021,1991,SOCIAL HOUSING,13,Toronto Centre,177 MUTUAL ST,10,42,2021-04-22,74,Evaluation needs to be conducted in 2 years,17,3,3,4,3,4,4,2,3,3,N/A,3,4,5,4,4,4,N/A,5,5,N/A,S1328,43.6595590254,-79.3765361369,314742.506,4835297.128
2420888,4152975,2018,2021,1965,PRIVATE,04,Parkdale-High Park,24 TYNDALL AVE,7,73,2021-04-22,74,Evaluation needs to be conducted in 2 years,17,4,2,5,2,4,5,N/A,3,4,N/A,3,4,5,4,3,4,4,4,3,N/A,S0437,43.6351285886,-79.4284822778,310555.059,4832578.112
2420889,4153716,2017,2021,1956,PRIVATE,19,Beaches-East York,619 WOODBINE AVE,4,50,2021-04-22,86,Evaluation needs to be conducted in 3 years,16,5,4,5,4,4,5,N/A,5,N/A,N/A,4,5,5,4,4,4,3,4,4,N/A,S1935,43.6778956947,-79.3088113763,320200.146,4837344.543
